match_id,opponent,minute,intervention_type,formation_at_time,score_diff,momentum_index,xg_diff,mar_xg_rate,opp_xg_rate,mar_pass_completion_rate,mar_pass_completion_delta,mar_pressure_intensity,opp_pressure_intensity,mar_territory_mean_x,mar_progressive_pass_rate,time_remaining_proxy,pre_xg_diff,post_xg_diff,outcome_xg_diff_change,outcome_positive,player_off,player_on,sub_outcome,new_formation,cluster,cluster_label
3920394,Tanzania,70,substitution,4141,1,0.7203457568307691,0.008362407,0.0005574938,0.0,0.8076923076923077,-0.0918764753682116,1.2,0.8,66.27068339235436,0.5192307692307693,20,0.2512515878133333,0.1951651348666666,-0.0560864529466666,0,Abdessamad Ezzalzouli,Amine Adli,Tactical,,3,Balanced_Phase
3920394,Tanzania,70,substitution,4141,1,0.7203457568307691,0.008362407,0.0005574938,0.0,0.8076923076923077,-0.0918764753682116,1.2,0.8,66.27068339235436,0.5192307692307693,20,0.2512515878133333,0.1951651348666666,-0.0560864529466666,0,Selim Amallah,Bilal El Khannous,Tactical,,3,Balanced_Phase
3920394,Tanzania,79,substitution,4141,3,0.5450050833464481,0.374423371,0.0249615580666666,0.0,0.918032786885246,0.0184640038247265,1.4,1.0,63.50851782322562,0.2950819672131147,11,0.0516715873333333,0.4264964656,0.3748248782666667,1,Hakim Ziyech,Ayoub El Kaabi,Tactical,,1,Dominant_Efficient
3920394,Tanzania,80,substitution,4141,3,0.5899845991215685,0.366060964,0.0244040642666666,0.0,0.9019607843137256,0.0023920012532061,1.3333333333333333,0.8,64.66779446056678,0.2745098039215686,10,0.0520857120666666,0.4229241626666667,0.3708384506000001,1,Azzedine Ounahi,Sofiane Boufal,Tactical,,1,Dominant_Efficient
3920394,Tanzania,81,substitution,4141,3,0.623317932454902,0.366060964,0.0244040642666666,0.0,0.9019607843137256,0.0023920012532061,1.4,0.8,66.26585897669582,0.2745098039215686,9,0.0759322825333333,0.4225546040666668,0.3466223215333334,1,Youssef En-Nesyri,Amine Harit,Tactical,,1,Dominant_Efficient
3920394,Tanzania,81,formation_shift,4141,3,0.623317932454902,0.366060964,0.0244040642666666,0.0,0.9019607843137256,0.0023920012532061,1.4,0.8,66.26585897669582,0.2745098039215686,9,0.0759322825333333,0.4225546040666668,0.3466223215333334,1,,,,4141.0,1,Dominant_Efficient
3920405,Congo DR,62,substitution,4141,1,0.3190544372862745,0.220114162,0.0162301304,0.0015558529333333,0.8455882352941176,-0.0532480848329541,2.0,2.2,53.41224218207353,0.3897058823529412,28,-0.3584269982666666,-0.25665145388,0.1017755443866665,1,Sofiane Boufal,Abdessamad Ezzalzouli,Tactical,,3,Balanced_Phase
3920405,Congo DR,62,substitution,4141,1,0.3190544372862745,0.220114162,0.0162301304,0.0015558529333333,0.8455882352941176,-0.0532480848329541,2.0,2.2,53.41224218207353,0.3897058823529412,28,-0.3584269982666666,-0.25665145388,0.1017755443866665,1,Selim Amallah,Bilal El Khannous,Tactical,,3,Balanced_Phase
3920405,Congo DR,71,substitution,4141,1,0.3018900885377777,-0.2566576693,0.00036967738,0.0174801886666666,0.8194444444444444,-0.0793918756826274,0.8666666666666667,1.0,53.7096147405551,0.4027777777777778,19,0.0165483907266666,-0.6485088870066668,-0.6650572777333335,0,Hakim Ziyech,Amine Adli,Tactical,,3,Balanced_Phase
3920405,Congo DR,79,substitution,4141,0,0.472086497300813,-0.77032688,0.0,0.0513551253333333,0.7073170731707317,-0.1915192469563401,1.2,0.7333333333333333,47.6629072039072,0.3414634146341463,11,-0.3397913679666666,-0.5349739313333335,-0.1951825633666668,0,Youssef En-Nesyri,Ayoub El Kaabi,Tactical,,0,Pressing_Under_Threat
