mar_rolling_xg,mar_rolling_shots,mar_rolling_goals,mar_rolling_passes,mar_rolling_passes_completed,mar_rolling_progressive,mar_rolling_key_passes,mar_rolling_pressures,mar_rolling_under_pressure,mar_rolling_dribbles,mar_rolling_dribbles_comp,mar_pass_completion_rate,mar_pass_completion_under_pressure,mar_xg_rate,mar_shot_rate,mar_pressure_intensity,mar_progressive_pass_rate,mar_dribble_success_rate,mar_territory_mean_x,mar_cumulative_xg,mar_cumulative_shots,mar_pass_completion_delta,minute,opp_rolling_xg,opp_rolling_shots,opp_rolling_goals,opp_rolling_passes,opp_rolling_passes_completed,opp_rolling_progressive,opp_rolling_key_passes,opp_rolling_pressures,opp_rolling_under_pressure,opp_rolling_dribbles,opp_rolling_dribbles_comp,opp_pass_completion_rate,opp_pass_completion_under_pressure,opp_xg_rate,opp_shot_rate,opp_pressure_intensity,opp_progressive_pass_rate,opp_dribble_success_rate,opp_territory_mean_x,opp_cumulative_xg,opp_cumulative_shots,opp_pass_completion_delta,xg_diff,territory_diff,momentum_index,mar_score,opp_score,score_diff,time_remaining_proxy,match_id,opponent,stage
0.19486658,1.0,0.0,65.0,60.0,23.0,1.0,22.0,36.0,2.0,0.0,0.9230769230769231,0.8888888888888888,0.012991105333333334,0.06666666666666667,1.4666666666666666,0.35384615384615387,0.0,52.399823461719,0.19486658,1,0.023508140016403778,10,0.0,0.0,0.0,67.0,53.0,20.0,0.0,17.0,47.0,0.0,0.0,0.7910447761194029,0.7857142857142857,0.0,0.0,1.1333333333333333,0.29850746268656714,,43.23878246753247,0.0,0,-0.0020773895323928926,0.19486658,9.161040994186536,0.5464950311794872,0,0,0,80,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,68.0,63.0,25.0,1.0,25.0,37.0,2.0,0.0,0.9264705882352942,0.8888888888888888,0.012991105333333334,0.06666666666666667,1.6666666666666667,0.36764705882352944,0.0,55.56913641885645,0.19486658,1,0.026901805174774807,11,0.0,0.0,0.0,71.0,56.0,20.0,0.0,17.0,57.0,0.0,0.0,0.7887323943661971,0.75,0.0,0.0,1.1333333333333333,0.28169014084507044,,40.508988095238095,0.0,0,-0.004389771285598698,0.19486658,15.060148323618357,0.6602959361568628,0,0,0,79,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,73.0,67.0,26.0,1.0,25.0,40.0,2.0,0.0,0.9178082191780822,0.8,0.012991105333333334,0.06666666666666667,1.6666666666666667,0.3561643835616438,0.0,52.83356182253416,0.19486658,1,0.018239436117562846,12,0.0,0.0,0.0,74.0,58.0,21.0,0.0,18.0,58.0,0.0,0.0,0.7837837837837838,0.75,0.0,0.0,1.2,0.28378378378378377,,40.76494005994006,0.0,0,-0.009338381868012058,0.19486658,12.068621762594098,0.6154799275616439,0,0,0,78,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,73.0,67.0,26.0,1.0,27.0,41.0,2.0,0.0,0.9178082191780822,0.8,0.012991105333333334,0.06666666666666667,1.8,0.3561643835616438,0.0,55.45735502568648,0.19486658,1,0.018239436117562846,13,0.0,0.0,0.0,90.0,74.0,22.0,0.0,18.0,62.0,1.0,0.0,0.8222222222222222,0.7647058823529411,0.0,0.0,1.2,0.24444444444444444,0.0,40.175347076935225,0.0,0,0.029100056570426358,0.19486658,15.282007948751257,0.6821465942283106,0,0,0,77,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,86.0,79.0,29.0,1.0,29.0,47.0,2.0,0.0,0.9186046511627907,0.8333333333333334,0.012991105333333334,0.06666666666666667,1.9333333333333333,0.3372093023255814,0.0,54.50903523327637,0.19486658,1,0.019035868102271314,14,0.0,0.0,0.0,95.0,77.0,24.0,0.0,20.0,66.0,1.0,0.0,0.8105263157894737,0.7777777777777778,0.0,0.0,1.3333333333333333,0.25263157894736843,0.0,40.97593797356059,0.0,0,0.01740415013767782,0.19486658,13.533097259715781,0.663191512992248,0,0,0,76,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,77.0,71.0,29.0,1.0,34.0,45.0,2.0,0.0,0.922077922077922,0.9,0.012991105333333334,0.06666666666666667,2.2666666666666666,0.37662337662337664,0.0,55.46688708512822,0.19486658,1,0.0225091390174027,15,0.0,0.0,0.0,116.0,99.0,28.0,0.0,19.0,77.0,1.0,0.0,0.853448275862069,0.8181818181818182,0.0,0.0,1.2666666666666666,0.2413793103448276,0.0,41.61191523013486,0.0,0,0.06032611021027312,0.19486658,13.854971854993359,0.9026055872900434,0,0,0,75,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,81.0,76.0,27.0,1.0,32.0,44.0,2.0,0.0,0.9382716049382716,0.9,0.012991105333333334,0.06666666666666667,2.1333333333333333,0.3333333333333333,0.0,55.96693706014072,0.19486658,1,0.0387028218777522,16,0.0,0.0,0.0,109.0,93.0,26.0,0.0,18.0,72.0,1.0,0.0,0.8532110091743119,0.8,0.0,0.0,1.2,0.23853211009174313,0.0,41.862193007912644,0.0,0,0.06008884352251609,0.19486658,14.104744052228078,0.8259822106666667,0,0,0,74,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,94.0,88.0,30.0,1.0,24.0,56.0,2.0,0.0,0.9361702127659575,0.9333333333333333,0.012991105333333334,0.06666666666666667,1.6,0.3191489361702128,0.0,57.078749925637794,0.19486658,1,0.036601429705438115,17,0.0,0.0,0.0,98.0,83.0,22.0,0.0,23.0,63.0,1.0,0.0,0.8469387755102041,0.875,0.0,0.0,1.5333333333333334,0.22448979591836735,0.0,40.34577634124597,0.0,0,0.053816609858408304,0.19486658,16.73297358439182,0.3784644801702127,0,0,0,73,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,109.0,101.0,31.0,1.0,26.0,70.0,3.0,0.0,0.926605504587156,0.8947368421052632,0.012991105333333334,0.06666666666666667,1.7333333333333334,0.28440366972477066,0.0,62.30470230659018,0.19486658,1,0.02703672152663661,18,0.0,0.0,0.0,97.0,82.0,22.0,0.0,30.0,70.0,1.0,0.0,0.845360824742268,0.7777777777777778,0.0,0.0,2.0,0.2268041237113402,0.0,35.0439985634682,0.0,0,0.052238659090472206,0.19486658,27.26070374312198,0.17705254705810392,0,0,0,72,3920394,Tanzania,Group Stage
0.19486658,1.0,0.0,121.0,111.0,37.0,1.0,27.0,81.0,4.0,0.0,0.9173553719008265,0.9047619047619048,0.012991105333333334,0.06666666666666667,1.8,0.30578512396694213,0.0,67.11988749177537,0.19486658,1,0.01778658884030715,19,0.0,0.0,0.0,101.0,85.0,24.0,0.0,34.0,77.0,2.0,1.0,0.8415841584158416,0.7777777777777778,0.0,0.0,2.2666666666666666,0.2376237623762376,0.5,30.03561472508436,0.0,0,0.048461992764045725,0.19486658,37.084272766691015,0.09843400130027558,0,0,0,71,3920394,Tanzania,Group Stage
