mar_rolling_xg,mar_rolling_shots,mar_rolling_goals,mar_rolling_passes,mar_rolling_passes_completed,mar_rolling_progressive,mar_rolling_key_passes,mar_rolling_pressures,mar_rolling_under_pressure,mar_rolling_dribbles,mar_rolling_dribbles_comp,mar_pass_completion_rate,mar_pass_completion_under_pressure,mar_xg_rate,mar_shot_rate,mar_pressure_intensity,mar_progressive_pass_rate,mar_dribble_success_rate,mar_territory_mean_x,mar_cumulative_xg,mar_cumulative_shots,mar_pass_completion_delta,minute,opp_rolling_xg,opp_rolling_shots,opp_rolling_goals,opp_rolling_passes,opp_rolling_passes_completed,opp_rolling_progressive,opp_rolling_key_passes,opp_rolling_pressures,opp_rolling_under_pressure,opp_rolling_dribbles,opp_rolling_dribbles_comp,opp_pass_completion_rate,opp_pass_completion_under_pressure,opp_xg_rate,opp_shot_rate,opp_pressure_intensity,opp_progressive_pass_rate,opp_dribble_success_rate,opp_territory_mean_x,opp_cumulative_xg,opp_cumulative_shots,opp_pass_completion_delta,xg_diff,territory_diff,momentum_index,mar_score,opp_score,score_diff,time_remaining_proxy,match_id,opponent,stage,cluster,cluster_label,pca_x,pca_y
0.0,0.0,0.0,62.0,55.0,18.0,0.0,14.0,29.0,0.0,0.0,0.8870967741935484,0.4444444444444444,0.0,0.0,0.9333333333333332,0.2903225806451613,,47.24162268825059,0.136196064,2,0.0356308250739663,40,0.0,0.0,0.0,76.0,67.0,25.0,0.0,14.0,34.0,0.0,0.0,0.881578947368421,0.8181818181818182,0.0,0.0,0.9333333333333332,0.3289473684210526,,60.92148568642686,0.005381815,1,-0.0008394819513742,0.0,-13.679862998176276,0.2903225806451613,0,0,0,50,3922243,South Africa,Round of 16,2,Chasing_Game,0.9535539221987955,1.5908297412671641
0.0,0.0,0.0,67.0,60.0,21.0,0.0,13.0,36.0,0.0,0.0,0.8955223880597015,0.5,0.0,0.0,0.8666666666666667,0.3134328358208955,,47.52086511249301,0.136196064,2,0.0440564389401194,41,0.0,0.0,0.0,58.0,49.0,21.0,0.0,18.0,30.0,1.0,0.0,0.8448275862068966,0.75,0.0,0.0,1.2,0.3620689655172414,0.0,61.50718265612384,0.005381815,1,-0.0375908431128987,0.0,-13.986317543630824,0.1467661691542289,0,0,0,49,3922243,South Africa,Round of 16,2,Chasing_Game,0.7720375000261347,1.8154099047850198
0.0,0.0,0.0,77.0,69.0,22.0,0.0,12.0,36.0,1.0,1.0,0.8961038961038961,0.5,0.0,0.0,0.8,0.2857142857142857,1.0,47.57439864602655,0.136196064,2,0.044637946984314,42,0.0,0.0,0.0,51.0,42.0,19.0,0.0,19.0,26.0,1.0,0.0,0.8235294117647058,0.7142857142857143,0.0,0.0,1.2666666666666666,0.3725490196078431,0.0,60.21754213324801,0.005381815,1,-0.0588890175550894,0.0,-12.643143487221458,0.0523809523809524,0,0,0,48,3922243,South Africa,Round of 16,2,Chasing_Game,0.5639828404287442,1.9953198846461113
0.0,0.0,0.0,82.0,73.0,29.0,1.0,15.0,40.0,1.0,1.0,0.8902439024390244,0.5833333333333334,0.0,0.0,1.0,0.3536585365853658,1.0,48.73843503974037,0.136196064,2,0.0387779533194423,43,0.0,0.0,0.0,56.0,47.0,22.0,0.0,21.0,31.0,2.0,0.0,0.8392857142857143,0.7142857142857143,0.0,0.0,1.4,0.3928571428571428,0.0,58.69235165705754,0.005381815,1,-0.043132715034081,0.0,-9.953916617317176,0.1536585365853658,0,0,0,47,3922243,South Africa,Round of 16,2,Chasing_Game,0.6667195496471996,1.6142254584331448
0.15823859,1.0,0.0,82.0,73.0,29.0,1.0,15.0,40.0,1.0,1.0,0.8902439024390244,0.5833333333333334,0.0105492393333333,0.0666666666666666,1.0,0.3536585365853658,1.0,53.98612734743268,0.294434654,3,0.0387779533194423,44,0.0,0.0,0.0,61.0,52.0,24.0,0.0,22.0,31.0,2.0,0.0,0.8524590163934426,0.7142857142857143,0.0,0.0,1.4666666666666666,0.3934426229508196,0.0,55.766446895152775,0.005381815,1,-0.0299594129263527,0.15823859,-1.7803195477200973,0.1414236819186992,0,0,0,46,3922243,South Africa,Round of 16,2,Chasing_Game,-0.08161713053213947,1.1307307261848336
0.23065338,2.0,0.0,85.0,76.0,30.0,2.0,18.0,45.0,1.0,1.0,0.8941176470588236,0.6153846153846154,0.015376892,0.1333333333333333,1.2,0.3529411764705882,1.0,55.58283926296812,0.366849444,4,0.0426516979392415,45,0.0,0.0,0.0,75.0,66.0,27.0,0.0,23.0,37.0,3.0,0.0,0.88,0.75,0.0,0.0,1.5333333333333334,0.36,0.0,53.87918763589352,0.005381815,1,-0.0024184293197953,0.23065338,1.7036516270745992,0.2170282938039215,0,0,0,45,3922243,South Africa,Round of 16,2,Chasing_Game,-0.42911898171154,0.9295391357360022
0.23065338,2.0,0.0,108.0,97.0,34.0,2.0,20.0,62.0,3.0,1.0,0.8981481481481481,0.7058823529411765,0.015376892,0.1333333333333333,1.3333333333333333,0.3148148148148148,0.3333333333333333,54.676551637550055,0.366849444,4,0.046682199028566,46,0.0,0.0,0.0,80.0,69.0,28.0,0.0,32.0,45.0,3.0,0.0,0.8625,0.6666666666666666,0.0,0.0,2.1333333333333333,0.35,0.0,55.64125660141076,0.005381815,1,-0.0199184293197952,0.23065338,-0.9647049638607044,-0.0544314011851851,0,0,0,44,3922243,South Africa,Round of 16,2,Chasing_Game,-0.6835507708049188,1.7625293964130044
0.33840171,3.0,0.0,118.0,107.0,35.0,3.0,29.0,70.0,3.0,1.0,0.9067796610169492,0.7368421052631579,0.022560114,0.2,1.9333333333333331,0.2966101694915254,0.3333333333333333,57.29047544707387,0.474597774,5,0.0553137118973671,47,0.0,0.0,0.0,83.0,71.0,28.0,0.0,37.0,59.0,5.0,2.0,0.8554216867469879,0.6923076923076923,0.0,0.0,2.466666666666667,0.3373493975903614,0.4,54.30909973866567,0.005381815,1,-0.0269967425728073,0.33840171,2.9813757084082013,0.0750637308248587,0,0,0,43,3922243,South Africa,Round of 16,2,Chasing_Game,-1.0874349937700785,1.6637374559736027
0.33840171,3.0,0.0,120.0,109.0,35.0,3.0,40.0,79.0,3.0,1.0,0.9083333333333332,0.7619047619047619,0.022560114,0.2,2.6666666666666665,0.2916666666666667,0.3333333333333333,58.41629555289398,0.474597774,5,0.0568673842137512,48,0.0,0.0,0.0,99.0,87.0,28.0,0.0,42.0,81.0,5.0,2.0,0.8787878787878788,0.7777777777777778,0.0,0.0,2.8,0.2828282828282828,0.4,54.69055411987615,0.005381815,1,-0.0036305505319165,0.33840171,3.725741433017831,0.2701202280000001,0,0,0,42,3922243,South Africa,Round of 16,2,Chasing_Game,-0.849017307270096,1.7555743311440453
0.33840171,3.0,0.0,119.0,109.0,35.0,3.0,41.0,89.0,6.0,3.0,0.9159663865546218,0.8,0.022560114,0.2,2.7333333333333334,0.2941176470588235,0.5,56.54085695640275,0.474597774,5,0.0645004374350397,49,0.006272342,1.0,0.0,96.0,84.0,28.0,1.0,44.0,90.0,5.0,2.0,0.875,0.7777777777777778,0.0004181561333333,0.0666666666666666,2.933333333333333,0.2916666666666667,0.4,55.2937786731007,0.011654157,2,-0.0074184293197953,0.332129368,1.2470782833020522,0.2384015627921569,0,0,0,41,3922243,South Africa,Round of 16,2,Chasing_Game,-0.6020642276924948,1.9205498977529372
0.33840171,3.0,0.0,118.0,108.0,34.0,3.0,41.0,84.0,6.0,3.0,0.9152542372881356,0.7894736842105263,0.022560114,0.2,2.7333333333333334,0.288135593220339,0.5,57.892085026578194,0.474597774,5,0.0637882881685535,50,0.006272342,1.0,0.0,94.0,83.0,27.0,1.0,42.0,90.0,5.0,2.0,0.8829787234042553,0.7777777777777778,0.0004181561333333,0.0666666666666666,2.8,0.2872340425531915,0.4,53.594182713504736,0.011654157,2,0.00056029408446,0.332129368,4.2979023130734575,0.2990861756203391,0,0,0,40,3922243,South Africa,Round of 16,2,Chasing_Game,-0.6728165825190928,1.7540127252801758
0.33840171,3.0,0.0,106.0,97.0,31.0,3.0,41.0,81.0,6.0,3.0,0.9150943396226416,0.8333333333333334,0.022560114,0.2,2.7333333333333334,0.2924528301886792,0.5,57.438313096753625,0.474597774,5,0.0636283905030594,51,0.006272342,1.0,0.0,97.0,88.0,26.0,1.0,41.0,90.0,5.0,2.0,0.9072164948453608,0.7777777777777778,0.0004181561333333,0.0666666666666666,2.7333333333333334,0.268041237113402,0.4,53.282672741994766,0.011654157,2,0.0247980655255655,0.332129368,4.155640354758859,0.3367367459220125,0,0,0,39,3922243,South Africa,Round of 16,2,Chasing_Game,-0.6471745395805958,1.7395028156114483
