match_id,opponent,minute,intervention_type,formation_at_time,score_diff,momentum_index,xg_diff,mar_xg_rate,opp_xg_rate,mar_pass_completion_rate,mar_pass_completion_delta,mar_pressure_intensity,opp_pressure_intensity,mar_territory_mean_x,mar_progressive_pass_rate,time_remaining_proxy,pre_xg_diff,post_xg_diff,outcome_xg_diff_change,outcome_positive,player_off,player_on,sub_outcome,new_formation
3920394,Tanzania,70,substitution,4141,1,0.7203457568307691,0.008362407,0.0005574938,0.0,0.8076923076923077,-0.09187647536821164,1.2,0.8,66.27068339235436,0.5192307692307693,20,0.25125158781333334,0.19516513486666667,-0.05608645294666667,0,Abdessamad Ezzalzouli,Amine Adli,Tactical,
3920394,Tanzania,70,substitution,4141,1,0.7203457568307691,0.008362407,0.0005574938,0.0,0.8076923076923077,-0.09187647536821164,1.2,0.8,66.27068339235436,0.5192307692307693,20,0.25125158781333334,0.19516513486666667,-0.05608645294666667,0,Selim Amallah,Bilal El Khannous,Tactical,
3920394,Tanzania,79,substitution,4141,3,0.5450050833464481,0.374423371,0.024961558066666667,0.0,0.9180327868852459,0.01846400382472657,1.4,1.0,63.508517823225624,0.29508196721311475,11,0.051671587333333345,0.42649646560000004,0.3748248782666667,1,Hakim Ziyech,Ayoub El Kaabi,Tactical,
3920394,Tanzania,80,substitution,4141,3,0.5899845991215685,0.36606096400000004,0.02440406426666667,0.0,0.9019607843137255,0.002392001253206155,1.3333333333333333,0.8,64.66779446056678,0.27450980392156865,10,0.05208571206666667,0.42292416266666677,0.3708384506000001,1,Azzedine Ounahi,Sofiane Boufal,Tactical,
3920394,Tanzania,81,substitution,4141,3,0.623317932454902,0.36606096400000004,0.02440406426666667,0.0,0.9019607843137255,0.002392001253206155,1.4,0.8,66.26585897669582,0.27450980392156865,9,0.07593228253333334,0.4225546040666668,0.34662232153333344,1,Youssef En-Nesyri,Amine Harit,Tactical,
3920394,Tanzania,81,formation_shift,4141,3,0.623317932454902,0.36606096400000004,0.02440406426666667,0.0,0.9019607843137255,0.002392001253206155,1.4,0.8,66.26585897669582,0.27450980392156865,9,0.07593228253333334,0.4225546040666668,0.34662232153333344,1,,,,4141.0
3920405,Congo DR,62,substitution,4141,1,0.3190544372862745,0.220114162,0.0162301304,0.0015558529333333333,0.8455882352941176,-0.05324808483295418,2.0,2.2,53.41224218207353,0.3897058823529412,28,-0.3584269982666666,-0.25665145388,0.10177554438666658,1,Sofiane Boufal,Abdessamad Ezzalzouli,Tactical,
3920405,Congo DR,62,substitution,4141,1,0.3190544372862745,0.220114162,0.0162301304,0.0015558529333333333,0.8455882352941176,-0.05324808483295418,2.0,2.2,53.41224218207353,0.3897058823529412,28,-0.3584269982666666,-0.25665145388,0.10177554438666658,1,Selim Amallah,Bilal El Khannous,Tactical,
3920405,Congo DR,71,substitution,4141,1,0.30189008853777777,-0.2566576693,0.00036967738,0.017480188666666667,0.8194444444444444,-0.0793918756826274,0.8666666666666667,1.0,53.7096147405551,0.4027777777777778,19,0.016548390726666667,-0.6485088870066668,-0.6650572777333335,0,Hakim Ziyech,Amine Adli,Tactical,
3920405,Congo DR,79,substitution,4141,0,0.47208649730081303,-0.77032688,0.0,0.051355125333333335,0.7073170731707317,-0.19151924695634015,1.2,0.7333333333333333,47.6629072039072,0.34146341463414637,11,-0.33979136796666665,-0.5349739313333335,-0.19518256336666684,0,Youssef En-Nesyri,Ayoub El Kaabi,Tactical,
3920405,Congo DR,79,substitution,4141,0,0.47208649730081303,-0.77032688,0.0,0.051355125333333335,0.7073170731707317,-0.19151924695634015,1.2,0.7333333333333333,47.6629072039072,0.34146341463414637,11,-0.33979136796666665,-0.5349739313333335,-0.19518256336666684,0,Azzedine Ounahi,Amine Harit,Tactical,
3920419,Zambia,45,substitution,4141,1,-0.14467044693333342,0.5399716480000001,0.038811385000000004,0.0028132751333333336,0.9565217391304348,0.05950200919601223,0.6,1.5333333333333334,74.48551763800646,0.25,45,0.3124978713599999,0.6431074073733332,0.33060953601333326,1,Hakim Ziyech,Amine Adli,Injury,
3920419,Zambia,67,substitution,4141,1,0.8909905150133332,-0.08319613740000001,0.0,0.005546409160000001,0.8645833333333334,-0.03243639660108921,2.4,1.2,44.11845772033576,0.3020833333333333,23,0.25703789688,-0.04147274751999999,-0.29851064439999997,0,Sofiane Boufal,Abdessamad Ezzalzouli,Tactical,
